Date,Station,Depth.m,Temperature.C,Salinity.PSU,Density.kg.m^-3,PAR,Fluorescence.mg.m^-3,Turbidity.NTU,Beam.1.m^-1,OxygenConcentration.umole.kg^-1,OxygenSaturation
20170912,4,17.601,12.7373,32.2959,24.3503,5.19E+01,2.7375,0.0003,6.7177,262.818,99.4534
20170912,4,17.742,12.6918,32.2988,24.3614,5.01E+01,2.5979,0.0003,6.722,262.235,99.14174
20170912,4,17.89,12.6663,32.2973,24.3651,4.90E+01,2.3118,0.0002,6.719,261.371,98.76242
20170912,4,18.072,12.656,32.2952,24.3655,4.78E+01,2.2241,0.0002,6.7153,260.477,98.40237
20170912,4,18.294,12.6468,32.2963,24.3681,4.60E+01,1.88,0.0002,6.6936,260.214,98.28504
20170912,4,18.564,12.6335,32.2991,24.3729,4.39E+01,1.8578,0.0002,6.6814,260.254,98.27494
20170912,4,18.827,12.6193,32.2994,24.3758,4.19E+01,1.5885,0.0002,6.6283,260.428,98.31217
20170912,4,18.993,12.6062,32.3008,24.3794,4.05E+01,1.5893,0.0002,6.6097,260.205,98.20247
20170912,4,19.121,12.5735,32.3067,24.3903,3.96E+01,1.6595,0.0002,6.5787,259.169,97.74939
20170912,4,19.323,12.5307,32.2994,24.3927,3.83E+01,1.6625,0.0002,6.5585,257.92,97.1873
20170912,4,19.602,12.4967,32.2978,24.3981,3.67E+01,1.5817,0.0002,6.5505,256.865,96.72057
20170912,4,19.886,12.4379,32.3011,24.4118,3.52E+01,1.5649,0.0002,6.5328,256.134,96.33002
20170912,4,20.099,12.3615,32.2998,24.4253,3.39E+01,1.5992,0.0002,6.53,256.048,96.14477
20170912,4,20.237,12.3087,32.3003,24.4357,3.29E+01,1.6137,0.0002,6.5248,256.123,96.06779
20170912,4,20.39,12.2444,32.2941,24.443,3.23E+01,1.529,0.0002,6.5269,256.453,96.0589
20170912,4,20.587,12.1931,32.2947,24.4531,3.14E+01,1.4672,0.0002,6.528,256.877,96.11565
20170912,4,20.788,12.0915,32.3004,24.4766,3.04E+01,1.4008,0.0002,6.5237,257.265,96.06106
20170912,4,20.999,11.9654,32.2984,24.4985,2.95E+01,1.3223,0.0003,6.5229,257.432,95.86953
20170912,4,21.254,11.7826,32.3131,24.5436,2.86E+01,1.3299,0.0003,6.521,257.62,95.58301
20170912,4,21.518,11.5914,32.3097,24.5759,2.75E+01,1.3467,0.0003,6.5099,257.767,95.25209
20170912,4,21.724,11.4627,32.2744,24.5718,2.66E+01,1.3688,0.0003,6.5023,257.418,94.84194
20170912,4,21.909,11.4176,32.2516,24.5622,2.58E+01,1.4558,0.0003,6.4961,256.282,94.31854
20170912,4,22.137,11.3571,32.2527,24.5739,2.49E+01,1.4535,0.0003,6.4944,254.841,93.66905
20170912,4,22.425,11.2856,32.2393,24.5763,2.38E+01,1.4314,0.0003,6.4895,253.38,92.98239
20170912,4,22.691,11.2511,32.2227,24.5696,2.29E+01,1.4314,0.0003,6.4951,251.637,92.26463
20170912,4,22.902,11.2218,32.2213,24.5738,2.21E+01,1.4314,0.0004,6.4993,249.595,91.45816
20170912,4,23.109,11.1274,32.2224,24.5913,2.13E+01,1.4314,0.0004,6.5125,247.287,90.43192
20170912,4,23.343,11.066,32.2015,24.5859,2.05E+01,1.2093,0.0004,6.5166,244.409,89.24993
20170912,4,23.562,10.9988,32.2032,24.5991,1.97E+01,1.1636,0.0004,6.5255,241.746,88.15243
20170912,4,23.738,10.9537,32.1911,24.5975,1.91E+01,1.0362,0.0004,6.5295,239.402,87.20659
20170912,4,23.915,10.9384,32.1854,24.5958,1.86E+01,0.9812,0.0004,6.5331,237.258,86.394
20170912,4,24.116,10.9082,32.1931,24.6071,1.80E+01,0.9751,0.0004,6.5384,235.322,85.63852
20170912,4,24.364,10.8688,32.1856,24.6081,1.73E+01,0.9698,0.0004,6.5407,233.471,84.88908
20170912,4,24.65,10.8271,32.1986,24.6255,1.65E+01,0.9057,0.0004,6.5451,231.798,84.21373
20170912,4,24.898,10.7389,32.2201,24.6575,1.57E+01,0.8271,0.0005,6.546,230.844,83.72174
20170912,4,25.085,10.6894,32.2086,24.6571,1.51E+01,0.7745,0.0005,6.5456,229.837,83.26182
20170912,4,25.242,10.6828,32.2047,24.6552,1.47E+01,0.6669,0.0005,6.5474,228.499,82.76312
20170912,4,25.431,10.6669,32.2056,24.6586,1.42E+01,0.6425,0.0005,6.5484,227.03,82.20366
20170912,4,25.701,10.6462,32.2074,24.6636,1.37E+01,0.544,0.0004,6.5569,225.702,81.68783
20170912,4,26.004,10.6247,32.2052,24.6656,1.30E+01,0.5448,0.0004,6.5551,224.737,81.29967
20170912,4,26.278,10.6189,32.2018,24.664,1.24E+01,0.5563,0.0005,6.5519,224.185,81.08787
20170912,4,26.467,10.6158,32.2001,24.6632,1.20E+01,0.5563,0.0005,6.551,223.759,80.92737
20170912,4,26.616,10.6146,32.1983,24.662,1.17E+01,0.5097,0.0005,6.551,223.412,80.79893
20170912,4,26.806,10.6113,32.1986,24.6628,1.15E+01,0.5074,0.0005,6.5532,222.995,80.64259
20170912,4,27.104,10.5803,32.2118,24.6784,1.10E+01,0.4967,0.0005,6.5531,222.624,80.46259
20170912,4,27.425,10.5225,32.2277,24.7007,1.05E+01,0.4945,0.0005,6.5517,222.475,80.31797
20170912,4,27.646,10.5027,32.2227,24.7001,1.01E+01,0.4861,0.0006,6.5507,222.534,80.30218
20170912,4,27.791,10.4881,32.2176,24.6986,9.85E+00,0.4822,0.0006,6.5498,222.584,80.29226
20170912,4,27.979,10.4658,32.2206,24.7048,9.59E+00,0.4822,0.0006,6.5499,222.535,80.23804
20170912,4,28.222,10.444,32.2191,24.7073,9.25E+00,0.483,0.0005,6.5515,222.494,80.18484
20170912,4,28.466,10.3987,32.2607,24.7475,8.88E+00,0.4609,0.0005,6.5546,222.625,80.17762
20170912,4,28.689,10.3243,32.2609,24.7602,8.52E+00,0.4334,0.0006,6.5559,222.947,80.16534
20170912,4,28.911,10.3081,32.2545,24.758,8.18E+00,0.4334,0.0006,6.5563,222.818,80.08739
20170912,4,29.139,10.3041,32.2564,24.7601,7.85E+00,0.4342,0.0005,6.562,222.456,79.95136
20170912,4,29.348,10.2795,32.2646,24.7706,7.55E+00,0.4266,0.0005,6.5626,222.354,79.8771
20170912,4,29.52,10.2497,32.2637,24.7749,7.33E+00,0.3968,0.0006,6.5625,222.486,79.87265
20170912,4,29.698,10.2214,32.2614,24.7779,7.13E+00,0.3937,0.0006,6.5739,222.485,79.82241
20170912,4,29.916,10.1989,32.2591,24.7799,6.90E+00,0.3602,0.0005,6.5818,222.095,79.64252
20170912,4,30.18,10.193,32.2521,24.7754,6.64E+00,0.3602,0.0005,6.5632,221.705,79.48851
20170912,4,30.466,10.1894,32.2511,24.7753,6.36E+00,0.348,0.0006,6.5617,221.582,79.4375
20170912,4,30.759,10.1829,32.2503,24.7757,6.07E+00,0.3472,0.0006,6.5671,221.685,79.46317
20170912,4,30.999,10.1767,32.2492,24.7759,5.82E+00,0.3266,0.0006,6.5694,221.889,79.52465
20170912,4,31.178,10.1593,32.2493,24.7789,5.65E+00,0.3228,0.0006,6.5714,221.768,79.45158
20170912,4,31.371,10.152,32.2466,24.778,5.47E+00,0.3403,0.0006,6.57,221.406,79.30791
20170912,4,31.593,10.1436,32.2461,24.779,5.28E+00,0.3472,0.0006,6.5714,220.924,79.12072
20170912,4,31.818,10.114,32.254,24.7901,5.08E+00,0.3472,0.0006,6.5775,220.716,78.99988
20170912,4,32.024,10.0785,32.248,24.7913,4.89E+00,0.3472,0.0006,6.5847,220.633,78.9064
20170912,4,32.211,10.0689,32.2439,24.7897,4.72E+00,0.3586,0.0006,6.5914,220.443,78.81961
20170912,4,32.403,10.0645,32.2424,24.7893,4.56E+00,0.3724,0.0006,6.5862,220.175,78.71567
20170912,4,32.596,10.052,32.2443,24.7928,4.42E+00,0.364,0.0006,6.5862,220.085,78.66302
20170912,4,32.814,10.0422,32.2415,24.7923,4.26E+00,0.348,0.0006,6.595,220.074,78.64073
20170912,4,33.026,10.0341,32.2416,24.7937,4.11E+00,0.3525,0.0006,6.5961,220.013,78.60529
20170912,4,33.19,10.0304,32.239,24.7923,3.99E+00,0.3716,0.0006,6.5976,219.862,78.54377
20170912,4,33.376,10.029,32.2389,24.7925,3.88E+00,0.3731,0.0006,6.6008,219.448,78.39349
20170912,4,33.664,10.0126,32.2425,24.798,3.72E+00,0.3838,0.0006,6.6011,219.22,78.28607
20170912,4,33.934,10.0033,32.2412,24.7986,3.54E+00,0.3838,0.0006,6.5932,218.983,78.18492
20170912,4,34.109,9.9957,32.2412,24.7998,3.41E+00,0.3365,0.0006,6.5943,218.914,78.14743
20170912,4,34.27,9.9943,32.2391,24.7984,3.32E+00,0.3358,0.0007,6.5967,218.763,78.09022
20170912,4,34.477,9.9935,32.2385,24.7981,3.21E+00,0.335,0.0006,6.5969,218.541,78.00909
20170912,4,34.692,9.9911,32.2387,24.7986,3.09E+00,0.335,0.0006,6.5964,218.44,77.96935
20170912,4,34.878,9.9877,32.2377,24.7984,2.99E+00,0.335,0.0006,6.5973,218.441,77.96306
20170912,4,35.083,9.9846,32.2378,24.799,2.90E+00,0.335,0.0006,6.5962,218.696,78.04915
20170912,4,35.346,9.9784,32.2381,24.8002,2.78E+00,0.3426,0.0006,6.5935,218.779,78.0682
20170912,4,35.6,9.9704,32.2379,24.8014,2.66E+00,0.348,0.0006,6.5945,218.852,78.08069
20170912,4,35.743,9.9662,32.2365,24.801,2.59E+00,0.348,0.0006,6.595,218.775,78.04531
20170912,4,35.83,9.9664,32.2355,24.8002,2.55E+00,0.348,0.0007,6.5996,218.639,77.9967
20170912,4,36.051,9.9641,32.2357,24.8007,2.48E+00,0.3396,0.0006,6.5982,218.612,77.98305
20170912,4,36.424,9.9504,32.2409,24.8071,2.35E+00,0.3236,0.0006,6.5939,218.401,77.88773
20170912,4,36.734,9.9413,32.2394,24.8074,2.22E+00,0.3335,0.0006,6.5957,218.387,77.86649
20170912,4,36.868,9.9403,32.2393,24.8075,2.15E+00,0.3724,0.0007,6.5965,218.477,77.89676
20170912,4,36.915,9.9397,32.2395,24.8077,2.13E+00,0.3709,0.0007,6.5919,218.671,77.96521
20170912,4,37.086,9.9312,32.2412,24.8105,2.09E+00,0.348,0.0006,6.5913,218.808,78.00059
20170912,4,37.345,9.924,32.2386,24.8096,1.99E+00,0.348,0.0006,6.5889,218.863,78.00657
20170912,4,37.531,9.9141,32.241,24.8132,1.91E+00,0.348,0.0006,6.5884,218.861,77.99045
20170912,4,37.628,9.9051,32.2387,24.8128,1.86E+00,0.348,0.0006,6.5884,218.849,77.96981
20170912,4,37.775,9.8986,32.2381,24.8134,1.82E+00,0.348,0.0006,6.5876,218.806,77.94285
